Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCL29,9695.0,Low Fat,11411658.0,Health and Hygiene,1588604,OUT049,1999,Medium,Tier 1,Supermarket Type1,44368912
FDE16,751.5,Low Fat,46124444.0,Frozen Foods,2067954,OUT019,1985,Small,Tier 1,Grocery Store,8335816
FDM57,1165.0,Regular,75849167.0,Snack Foods,851908,OUT046,1997,Small,Tier 1,Supermarket Type1,21811608
FDZ36,6035.0,Regular,65729039.0,Baking Goods,188324,OUT013,1987,High,Tier 3,Supermarket Type1,1491392
NCW42,182.0,Low Fat,97865088.0,Household,2218456,OUT010,1998,Small,Tier 3,Grocery Store,8841824
NCI54,588.0,Low Fat,58827583.0,Household,1104912,OUT019,1985,Small,Tier 1,Grocery Store,4367648
DRK01,763.0,Low Fat,61313057.0,Soft Drinks,933436,OUT018,2009,Medium,Tier 3,Supermarket Type2,13236104
FDX10,6385.0,Regular,123961415.0,Snack Foods,332874,OUT045,2002,Small,Tier 2,Supermarket Type1,1411496
FDO46,96.0,Regular,14270394.0,Snack Foods,1873872,OUT018,2009,Medium,Tier 3,Supermarket Type2,26472208
FDD16,205.0,Low Fat,60847634.0,Frozen Foods,750696,OUT010,1998,Small,Tier 3,Grocery Store,1491392
FDZ20,206.0,Low Fat,67329353.55021834,Fruits and Vegetables,2530356,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445102
NCI18,1835.0,Low Fat,14103354.0,Household,2254746,OUT017,2007,Small,Tier 2,Supermarket Type1,13462476
DRI25,196.0,Low Fat,33901442.0,Soft Drinks,562614,OUT046,1997,Small,Tier 1,Supermarket Type1,7736596
FDY44,1415.0,Regular,24454052.0,Fruits and Vegetables,197211,OUT045,2002,Small,Tier 2,Supermarket Type1,3731809
FDW38,638.0,Regular,69237959.17391305,Dairy,559298,OUT019,1985,Small,Tier 1,Grocery Store,1078596
FDY33,742.0,Regular,96730427.0,Snack Foods,1590262,OUT027,1985,Medium,Tier 3,Supermarket Type3,58876694
DRH51,176.0,Low Fat,97198194.0,Dairy,898856,OUT035,2004,Small,Tier 2,Supermarket Type1,3515424
FDT32,19.0,Regular,66005186.0,Fruits and Vegetables,1884214,OUT017,2007,Small,Tier 2,Supermarket Type1,2826321
FDI50,842.0,Regular,30890618.0,Canned,2287352,OUT049,1999,Medium,Tier 1,Supermarket Type1,59549152
FDB60,93.0,Low Fat,28498354.0,Baking Goods,1958136,OUT013,1987,High,Tier 3,Supermarket Type1,23329632
FDP09,1975.0,Low Fat,33883448.0,Snack Foods,2132902,OUT035,2004,Small,Tier 2,Supermarket Type1,4247804
FDA20,678.0,Low Fat,66565644.0,Fruits and Vegetables,185324,OUT013,1987,High,Tier 3,Supermarket Type1,3914904
NCX05,196.0,Low Fat,169943195.0,Health and Hygiene,1162492,OUT019,1985,Small,Tier 1,Grocery Store,1158492
DRF37,1725.0,Low Fat,65169154.35036496,Soft Drinks,263591,OUT045,2002,Small,Tier 2,Supermarket Type1,788973
FDJ26,153.0,Regular,84765192.0,Canned,2150218,OUT046,1997,Small,Tier 1,Supermarket Type1,19234962
FDZ25,157.0,Regular,27617046.0,Canned,168279,OUT046,1997,Small,Tier 1,Supermarket Type1,4074696
FDZ58,1785.0,Low Fat,52166995.0,Snack Foods,1217072,OUT035,2004,Small,Tier 2,Supermarket Type1,28176656
FDZ50,638.0,Regular,69237959.17391305,Dairy,1842608,OUT027,1985,Medium,Tier 3,Supermarket Type3,60641064
NCG18,153.0,Low Fat,38460297.0,Household,1040332,OUT010,1998,Small,Tier 3,Grocery Store,2050664
FDZ56,1625.0,Low Fat,25789175.0,Fruits and Vegetables,1669474,OUT045,2002,Small,Tier 2,Supermarket Type1,28636058
FDH50,15.0,Regular,161301097.0,Canned,1851266,OUT013,1987,High,Tier 3,Supermarket Type1,22131192
DRO35,1385.0,Low Fat,34640466.0,Hard Drinks,1161492,OUT045,2002,Small,Tier 2,Supermarket Type1,12743412
DRH51,638.0,Low Fat,69237959.17391305,Dairy,891856,OUT027,1985,Medium,Tier 3,Supermarket Type3,21092544
FDS19,138.0,Regular,64307102.0,Fruits and Vegetables,773012,OUT049,1999,Medium,Tier 1,Supermarket Type1,15939252
NCM06,7475.0,Low Fat,76036381.0,Household,1539656,OUT018,2009,Medium,Tier 3,Supermarket Type2,26259152
FDP52,187.0,Regular,71091591.0,Frozen Foods,228601,OUT017,2007,Small,Tier 2,Supermarket Type1,4823721
FDK02,125.0,Low Fat,187841082.0,Canned,119244,OUT010,1998,Small,Tier 3,Grocery Store,119844
FDG59,1585.0,Low Fat,43234574.0,Starchy Foods,383164,OUT046,1997,Small,Tier 1,Supermarket Type1,5406296
FDN20,206.0,Low Fat,26055106.0,Fruits and Vegetables,1695474,OUT027,1985,Medium,Tier 3,Supermarket Type3,4211185
FDO57,2075.0,Low Fat,109153001.0,Snack Foods,1613578,OUT018,2009,Medium,Tier 3,Supermarket Type2,44928184
NCJ30,582.0,Low Fat,8062523.0,Household,168379,OUT035,2004,Small,Tier 2,Supermarket Type1,1188453
FDQ31,5785.0,Regular,901292.0,Fruits and Vegetables,898856,OUT010,1998,Small,Tier 3,Grocery Store,1757712
FDC05,131.0,Regular,98938169.0,Frozen Foods,1957768,OUT049,1999,Medium,Tier 1,Supermarket Type1,41386128
FDM08,101.0,Regular,67329353.55021834,Fruits and Vegetables,2251088,OUT013,1987,High,Tier 3,Supermarket Type1,35793408
NCA41,1675.0,Low Fat,32580547.0,Health and Hygiene,1921162,OUT035,2004,Small,Tier 2,Supermarket Type1,3848324
FDK15,617.0,Low Fat,97937252.0,Meat,989042,OUT027,1985,Medium,Tier 3,Supermarket Type3,496021
FDX56,171.0,Regular,67329353.55021834,Fruits and Vegetables,2085638,OUT049,1999,Medium,Tier 1,Supermarket Type1,53836588
FDT21,742.0,Low Fat,20391845.0,Snack Foods,2489092,OUT046,1997,Small,Tier 1,Supermarket Type1,22410828
FDQ46,751.0,Low Fat,103813029.0,Snack Foods,1137544,OUT046,1997,Small,Tier 1,Supermarket Type1,6711264
FDS01,197.0,Low Fat,31069203.0,Canned,1796686,OUT019,1985,Small,Tier 1,Grocery Store,1777686
FDW34,742.0,Low Fat,62294473.0,Snack Foods,242417,OUT019,1985,Small,Tier 1,Grocery Store,486034
FDX07,192.0,Regular,22914478.0,Fruits and Vegetables,181195,OUT035,2004,Small,Tier 2,Supermarket Type1,2380235
FDN13,186.0,Low Fat,152058281.0,Breakfast,999358,OUT046,1997,Small,Tier 1,Supermarket Type1,2010716
NCP02,7105.0,Low Fat,44991294.0,Household,592562,OUT018,2009,Medium,Tier 3,Supermarket Type2,6518182
FDT48,492.0,Low Fat,46214971.0,Baking Goods,1998084,OUT017,2007,Small,Tier 2,Supermarket Type1,3968168
FDZ49,11.0,Regular,13312044.0,Canned,2215798,OUT035,2004,Small,Tier 2,Supermarket Type1,41872162
NCJ17,768.0,Low Fat,255348289.0,Health and Hygiene,844224,OUT010,1998,Small,Tier 3,Grocery Store,1704448
FDB17,1315.0,Low Fat,36879539.0,Frozen Foods,1813976,OUT017,2007,Small,Tier 2,Supermarket Type1,30786592
FDP48,752.0,Regular,44202545.0,Baking Goods,182995,OUT018,2009,Medium,Tier 3,Supermarket Type2,439428
FDI53,8895.0,Regular,137858955.0,Frozen Foods,1621236,OUT049,1999,Medium,Tier 1,Supermarket Type1,25779776
FDW02,4805.0,Regular,37668051.0,Dairy,1267704,OUT013,1987,High,Tier 3,Supermarket Type1,26285784
FDL20,206.0,Low Fat,224837308.0,Fruits and Vegetables,1127886,OUT019,1985,Small,Tier 1,Grocery Store,2223772
FDV32,7785.0,Low Fat,89069748.0,Fruits and Vegetables,62751,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707777
FDG38,8975.0,Regular,53027398.0,Canned,860224,OUT017,2007,Small,Tier 2,Supermarket Type1,1278336
NCB31,588.0,Low Fat,118099673.0,Household,262891,OUT027,1985,Medium,Tier 3,Supermarket Type3,5522811
FDF52,93.0,Low Fat,64515372.33913043,Frozen Foods,1829292,OUT017,2007,Small,Tier 2,Supermarket Type1,40134424
FDB15,10895.0,Low Fat,137023446.0,Dairy,2637568,OUT049,1999,Medium,Tier 1,Supermarket Type1,76460472
FDO48,15.0,Regular,26950104.0,Baking Goods,2209456,OUT018,2009,Medium,Tier 3,Supermarket Type2,17683648
NCR53,1215.0,Low Fat,53790578.42710473,Health and Hygiene,2244404,OUT018,2009,Medium,Tier 3,Supermarket Type2,562601
FDF56,167.0,Regular,119362812.0,Fruits and Vegetables,1803976,OUT013,1987,High,Tier 3,Supermarket Type1,30786592
FDL57,151.0,Regular,67350054.0,Snack Foods,2573304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874956
NCC31,802.0,Low Fat,60721772.89639115,Household,1577972,OUT013,1987,High,Tier 3,Supermarket Type1,17137692
FDE33,1935.0,Regular,49712775.0,Fruits and Vegetables,782644,OUT049,1999,Medium,Tier 1,Supermarket Type1,14927236
FDV52,207.0,Regular,122208091.0,Frozen Foods,1197466,OUT017,2007,Small,Tier 2,Supermarket Type1,40067844
FDR46,742.0,Low Fat,138742518.0,Snack Foods,147476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368948
DRE12,459.0,Low Fat,70780558.0,Soft Drinks,114586,OUT046,1997,Small,Tier 1,Supermarket Type1,1245046
FDD57,181.0,Low Fat,37492325.0,Fruits and Vegetables,955094,OUT010,1998,Small,Tier 3,Grocery Store,952094
NCS41,1285.0,Low Fat,53527105.0,Health and Hygiene,1851608,OUT049,1999,Medium,Tier 1,Supermarket Type1,23888904
NCY41,1675.0,Low Fat,76164013.0,Health and Hygiene,340532,OUT017,2007,Small,Tier 2,Supermarket Type1,5752512
FDV22,1485.0,Regular,9995002.0,Snack Foods,154463,OUT017,2007,Small,Tier 2,Supermarket Type1,3755112
FDF12,8235.0,Low Fat,8259502.0,Baking Goods,1491076,OUT045,2002,Small,Tier 2,Supermarket Type1,11824608
FDM13,6425.0,Low Fat,63122753.0,Breakfast,1313626,OUT013,1987,High,Tier 3,Supermarket Type1,2623252
FDQ56,659.0,Low Fat,105597316.0,Fruits and Vegetables,834908,OUT046,1997,Small,Tier 1,Supermarket Type1,13422528
FDW55,206.0,Regular,21863506.0,Fruits and Vegetables,2470092,OUT027,1985,Medium,Tier 3,Supermarket Type3,54782024
NCT29,196.0,Low Fat,63800266.0,Health and Hygiene,1230414,OUT027,1985,Medium,Tier 3,Supermarket Type3,46299732
NCX42,636.0,Low Fat,6012413.0,Household,1630526,OUT017,2007,Small,Tier 2,Supermarket Type1,1644526
FDR24,1735.0,Regular,63207198.0,Baking Goods,89383,OUT017,2007,Small,Tier 2,Supermarket Type1,1258362
NCS42,86.0,Low Fat,69809115.0,Household,905146,OUT017,2007,Small,Tier 2,Supermarket Type1,7297168
FDL40,177.0,Low Fat,11660463.0,Frozen Foods,96541,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220443
FDD47,76.0,Regular,142410775.0,Starchy Foods,1719448,OUT046,1997,Small,Tier 1,Supermarket Type1,37497856
DRE03,196.0,Low Fat,24226902.0,Dairy,487718,OUT046,1997,Small,Tier 1,Supermarket Type1,236359
NCM18,588.0,Low Fat,82440705.0,Household,613194,OUT027,1985,Medium,Tier 3,Supermarket Type3,20433402
FDF52,93.0,Low Fat,66918731.0,Frozen Foods,1842292,OUT045,2002,Small,Tier 2,Supermarket Type1,16418628
NCG43,202.0,Low Fat,74390007.0,Household,914462,OUT045,2002,Small,Tier 2,Supermarket Type1,19434702
FDE20,1135.0,Regular,5530516.0,Fruits and Vegetables,171179,OUT046,1997,Small,Tier 1,Supermarket Type1,4923591
FDI33,165.0,Low Fat,28579565.0,Snack Foods,903146,OUT017,2007,Small,Tier 2,Supermarket Type1,25540088
NCT06,171.0,Low Fat,38705317.0,Household,1650842,OUT013,1987,High,Tier 3,Supermarket Type1,23209788
FDY24,488.0,Regular,66836820.12106136,Baking Goods,531298,OUT035,2004,Small,Tier 2,Supermarket Type1,808947
FDZ33,10195.0,Low Fat,108004532.0,Snack Foods,1487076,OUT017,2007,Small,Tier 2,Supermarket Type1,13302684
FDJ55,128.0,Regular,23626808.0,Meat,2232404,OUT018,2009,Medium,Tier 3,Supermarket Type2,24754444
FDE45,206.0,Low Fat,70660449.0,Fruits and Vegetables,1804002,OUT019,1985,Small,Tier 1,Grocery Store,7164008
FDD44,805.0,Regular,78719835.0,Fruits and Vegetables,2585646,OUT018,2009,Medium,Tier 3,Supermarket Type2,30919752
FDD10,206.0,Regular,46208155.0,Snack Foods,1780344,OUT018,2009,Medium,Tier 3,Supermarket Type2,16059096
FDA39,632.0,Low Fat,12769753.0,Meat,399822,OUT018,2009,Medium,Tier 3,Supermarket Type2,785644
FDB36,5465.0,Regular,48486801.0,Baking Goods,1312626,OUT013,1987,High,Tier 3,Supermarket Type1,34102276
FDK52,1825.0,Low Fat,132596101.0,Frozen Foods,2262062,OUT010,1998,Small,Tier 3,Grocery Store,6771186
FDJ36,145.0,Regular,128459481.0,Baking Goods,1020332,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050664
NCB55,157.0,Low Fat,161317495.0,Household,575562,OUT018,2009,Medium,Tier 3,Supermarket Type2,8295868
NCK18,96.0,Low Fat,11211251.0,Household,1669184,OUT010,1998,Small,Tier 3,Grocery Store,6604736
FDX27,207.0,Regular,114294512.0,Dairy,949436,OUT049,1999,Medium,Tier 1,Supermarket Type1,12290668
FDB08,6055.0,Low Fat,31103357.0,Fruits and Vegetables,1599578,OUT046,1997,Small,Tier 1,Supermarket Type1,27277826
FDX43,5655.0,Low Fat,85274988.0,Fruits and Vegetables,16505,OUT046,1997,Small,Tier 1,Supermarket Type1,23303
FDA20,678.0,Low Fat,66892471.0,Fruits and Vegetables,186424,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304968
FDC04,638.0,Low Fat,78764059.0,Dairy,2413854,OUT019,1985,Small,Tier 1,Grocery Store,4833708
FDG17,6865.0,Regular,36042939.0,Frozen Foods,2444486,OUT017,2007,Small,Tier 2,Supermarket Type1,41539262
FDU58,661.0,Regular,4855968.0,Snack Foods,1884898,OUT010,1998,Small,Tier 3,Grocery Store,1870898
FDP24,678.0,Low Fat,82602127.0,Baking Goods,1209756,OUT027,1985,Medium,Tier 3,Supermarket Type3,38776192
NCT29,126.0,Low Fat,64240743.0,Health and Hygiene,1219414,OUT045,2002,Small,Tier 2,Supermarket Type1,14620968
FDB08,6055.0,Low Fat,31230059.0,Fruits and Vegetables,1603578,OUT018,2009,Medium,Tier 3,Supermarket Type2,17650358
NCB43,202.0,Low Fat,100114941.0,Household,1883898,OUT045,2002,Small,Tier 2,Supermarket Type1,35547062
FDL09,742.0,Regular,22417463.0,Snack Foods,1688816,OUT019,1985,Small,Tier 1,Grocery Store,1677816
DRK49,1415.0,Low Fat,35943717.0,Soft Drinks,405138,OUT046,1997,Small,Tier 1,Supermarket Type1,4467518
FDR37,165.0,Regular,6619442.0,Breakfast,1844292,OUT013,1987,High,Tier 3,Supermarket Type1,31012964
FDG56,133.0,Regular,71439051.0,Fruits and Vegetables,610536,OUT035,2004,Small,Tier 2,Supermarket Type1,18988616
FDE34,9195.0,Low Fat,108059141.0,Snack Foods,1817634,OUT049,1999,Medium,Tier 1,Supermarket Type1,61799556
FDE16,751.5,Low Fat,26216144.0,Frozen Foods,2075954,OUT027,1985,Medium,Tier 3,Supermarket Type3,66686528
FDT58,9.0,Low Fat,85938463.0,Snack Foods,1686816,OUT035,2004,Small,Tier 2,Supermarket Type1,13422528
FDR03,157.0,Regular,8734284.0,Meat,207898,OUT035,2004,Small,Tier 2,Supermarket Type1,309597
NCL30,181.0,Low Fat,49016517.0,Household,1287336,OUT049,1999,Medium,Tier 1,Supermarket Type1,21731712
FDT22,742.0,Low Fat,111554381.0,Snack Foods,59822,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677816
FDP45,157.0,Regular,30672457.0,Snack Foods,2531724,OUT049,1999,Medium,Tier 1,Supermarket Type1,52851204
FDS15,9195.0,Regular,77995641.0,Meat,1071596,OUT013,1987,High,Tier 3,Supermarket Type1,28043496
FDF16,751.5,Low Fat,85715273.0,Frozen Foods,1466076,OUT027,1985,Medium,Tier 3,Supermarket Type3,17736912
FDL13,1385.0,Regular,56432784.0,Breakfast,23493,OUT045,2002,Small,Tier 2,Supermarket Type1,46606
NCV30,202.0,Low Fat,66200667.0,Household,61451,OUT018,2009,Medium,Tier 3,Supermarket Type2,126502
FDG33,1775.0,Regular,245542627.0,Seafood,1722764,OUT019,1985,Small,Tier 1,Grocery Store,1717764
FDO10,1365.0,Regular,127517.0,Snack Foods,555588,OUT046,1997,Small,Tier 1,Supermarket Type1,16032464
FDQ03,15.0,Regular,77949334.0,Meat,2387248,OUT013,1987,High,Tier 3,Supermarket Type1,21332232
NCC55,10695.0,Low Fat,64022881.0,Household,360848,OUT018,2009,Medium,Tier 3,Supermarket Type2,372848
FDD52,638.0,Regular,182407266.0,Dairy,109157,OUT027,1985,Medium,Tier 3,Supermarket Type3,1867569
FDI16,14.0,Regular,136328794.0,Frozen Foods,54864,OUT018,2009,Medium,Tier 3,Supermarket Type2,319584
FDB44,6655.0,Low Fat,16958832.0,Fruits and Vegetables,2100586,OUT046,1997,Small,Tier 1,Supermarket Type1,4221172
FDA25,165.0,Regular,68125756.0,Canned,101199,OUT046,1997,Small,Tier 1,Supermarket Type1,103199
FDV33,96.0,Regular,2734361.0,Snack Foods,2578304,OUT046,1997,Small,Tier 1,Supermarket Type1,18083128
FDX47,655.0,Regular,34658144.0,Breads,1558288,OUT049,1999,Medium,Tier 1,Supermarket Type1,10999016
FDO50,1625.0,Low Fat,64037918.62012987,Canned,898804,OUT017,2007,Small,Tier 2,Supermarket Type1,11025648
FDV57,1525.0,Regular,65841719.0,Snack Foods,179866,OUT013,1987,High,Tier 3,Supermarket Type1,269649
FDB02,9695.0,Regular,29158763.0,Canned,174537,OUT035,2004,Small,Tier 2,Supermarket Type1,1235059
FDD16,751.5,Low Fat,63649582.0,Frozen Foods,747696,OUT019,1985,Small,Tier 1,Grocery Store,745696
FDX02,16.0,Low Fat,5706009.0,Dairy,2250404,OUT046,1997,Small,Tier 1,Supermarket Type1,49508888
FDP11,1585.0,Low Fat,11566015.0,Breads,2183166,OUT010,1998,Small,Tier 3,Grocery Store,4354332
FDH32,206.0,Low Fat,75691713.0,Fruits and Vegetables,98241,OUT027,1985,Medium,Tier 3,Supermarket Type3,2220443
NCL18,1885.0,Low Fat,167844438.0,Household,1939136,OUT049,1999,Medium,Tier 1,Supermarket Type1,31106176
FDT12,6215.0,Regular,49722335.0,Baking Goods,2245062,OUT045,2002,Small,Tier 2,Supermarket Type1,4514124
FDD50,197.0,Low Fat,14095631.0,Canned,1677132,OUT027,1985,Medium,Tier 3,Supermarket Type3,38896036
NCU05,118.0,Low Fat,58827557.0,Health and Hygiene,808618,OUT049,1999,Medium,Tier 1,Supermarket Type1,12889888
FDI56,7325.0,Low Fat,93765794.0,Fruits and Vegetables,903146,OUT018,2009,Medium,Tier 3,Supermarket Type2,17330774
DRL11,105.0,Low Fat,48092816.0,Hard Drinks,1592946,OUT049,1999,Medium,Tier 1,Supermarket Type1,18935352
FDQ08,157.0,Regular,18968743.0,Fruits and Vegetables,619536,OUT045,2002,Small,Tier 2,Supermarket Type1,1225072
FDW20,206.0,Low Fat,24032484.0,Fruits and Vegetables,124973,OUT027,1985,Medium,Tier 3,Supermarket Type3,246346
FDW46,13.0,Regular,70444232.0,Snack Foods,634484,OUT045,2002,Small,Tier 2,Supermarket Type1,10439744
FDO09,135.0,Regular,125469442.0,Snack Foods,264491,OUT049,1999,Medium,Tier 1,Supermarket Type1,6574775
DRJ49,6865.0,Low Fat,1405025.0,Soft Drinks,1289652,OUT018,2009,Medium,Tier 3,Supermarket Type2,16791476
FDP26,7785.0,Low Fat,139436695.0,Dairy,1030306,OUT013,1987,High,Tier 3,Supermarket Type1,24042038
FDO19,177.0,Regular,16593506.0,Fruits and Vegetables,469034,OUT035,2004,Small,Tier 2,Supermarket Type1,972068
NCG43,202.0,Low Fat,124261614.0,Household,936462,OUT010,1998,Small,Tier 3,Grocery Store,2776386
FDG02,7855.0,Low Fat,11261165.0,Canned,1895188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904188
FDO32,636.0,Low Fat,120520818.0,Fruits and Vegetables,45906,OUT035,2004,Small,Tier 2,Supermarket Type1,419454
FDR34,17.0,Regular,15965308.0,Snack Foods,2294352,OUT046,1997,Small,Tier 1,Supermarket Type1,48097392
FDU59,578.0,Low Fat,96386227.0,Breads,1635552,OUT046,1997,Small,Tier 1,Supermarket Type1,17870072
FDN31,115.0,Low Fat,73029341.0,Fruits and Vegetables,187953,OUT045,2002,Small,Tier 2,Supermarket Type1,2656542
FDT55,206.0,Regular,43443753.0,Fruits and Vegetables,1581946,OUT027,1985,Medium,Tier 3,Supermarket Type3,69429624
FDE08,182.0,Low Fat,49520593.0,Fruits and Vegetables,1473734,OUT018,2009,Medium,Tier 3,Supermarket Type2,23755744
FDK52,1825.0,Low Fat,79152918.0,Frozen Foods,2238062,OUT013,1987,High,Tier 3,Supermarket Type1,42884178
FDW11,126.0,Low Fat,48741487.0,Breads,604194,OUT013,1987,High,Tier 3,Supermarket Type1,9907104
FDC03,8575.0,Regular,71958197.0,Dairy,1953794,OUT049,1999,Medium,Tier 1,Supermarket Type1,35114292
FDR43,182.0,Low Fat,162147349.0,Fruits and Vegetables,37719,OUT018,2009,Medium,Tier 3,Supermarket Type2,549285
FDL14,8115.0,Regular,5382735.0,Canned,1552972,OUT010,1998,Small,Tier 3,Grocery Store,3115944
FDP39,1265.0,Low Fat,69565759.0,Meat,524324,OUT045,2002,Small,Tier 2,Supermarket Type1,5712564
FDG29,751.5,Low Fat,56019324.0,Frozen Foods,400454,OUT027,1985,Medium,Tier 3,Supermarket Type3,419454
DRH15,8775.0,Low Fat,109911272.0,Dairy,419428,OUT046,1997,Small,Tier 1,Supermarket Type1,1537998
FDT11,594.0,Regular,29366813.0,Breads,1877556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755112
FDU48,1885.0,Low Fat,55347985.0,Baking Goods,1315284,OUT035,2004,Small,Tier 2,Supermarket Type1,15819408
FDY12,98.0,Regular,66836820.12106136,Baking Goods,492008,OUT013,1987,High,Tier 3,Supermarket Type1,6578104
FDS44,1265.0,Regular,156926608.0,Fruits and Vegetables,2383538,OUT017,2007,Small,Tier 2,Supermarket Type1,55281374
NCP06,207.0,Low Fat,39405676.0,Household,1498366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2267049
DRH23,1465.0,Low Fat,170176516.0,Hard Drinks,552614,OUT013,1987,High,Tier 3,Supermarket Type1,7183982
FDA16,751.5,Low Fat,33777629.0,Frozen Foods,2228456,OUT027,1985,Medium,Tier 3,Supermarket Type3,70734592
FDT45,1585.0,Low Fat,57546914.0,Snack Foods,558956,OUT018,2009,Medium,Tier 3,Supermarket Type2,4913604
FDE56,1725.0,Regular,160095901.0,Fruits and Vegetables,615194,OUT017,2007,Small,Tier 2,Supermarket Type1,10526298
FDA40,16.0,Regular,99832728.0,Frozen Foods,874856,OUT017,2007,Small,Tier 2,Supermarket Type1,2636568
FDA39,632.0,Low Fat,12717946.0,Meat,402822,OUT046,1997,Small,Tier 1,Supermarket Type1,6285152
NCB19,6525.0,Low Fat,90278634.0,Household,867882,OUT035,2004,Small,Tier 2,Supermarket Type1,19754286
FDZ34,6695.0,Low Fat,68672955.93984963,Starchy Foods,191882,OUT013,1987,High,Tier 3,Supermarket Type1,386164
FDV22,1485.0,Regular,9958941.0,Snack Foods,157963,OUT045,2002,Small,Tier 2,Supermarket Type1,2816334
FDO40,171.0,Low Fat,32678839.0,Frozen Foods,1507392,OUT049,1999,Medium,Tier 1,Supermarket Type1,31319232
FDD21,103.0,Regular,67329353.55021834,Fruits and Vegetables,1150176,OUT013,1987,High,Tier 3,Supermarket Type1,41226336
FDO36,197.0,Low Fat,77849003.0,Baking Goods,179166,OUT013,1987,High,Tier 3,Supermarket Type1,3056022
FDV34,10695.0,Regular,11443222.0,Snack Foods,735038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1478076
NCY18,7285.0,Low Fat,31214809.0,Household,1771054,OUT045,2002,Small,Tier 2,Supermarket Type1,2626581
NCM54,177.0,Low Fat,51146565.0,Household,1273678,OUT018,2009,Medium,Tier 3,Supermarket Type2,33063628
FDB59,1825.0,Low Fat,15302653.0,Snack Foods,1980084,OUT049,1999,Medium,Tier 1,Supermarket Type1,7936336
FDS45,5175.0,Regular,4937018.0,Snack Foods,1067622,OUT010,1998,Small,Tier 3,Grocery Store,2117244
FDV24,5635.0,Low Fat,66836820.12106136,Baking Goods,148705,OUT049,1999,Medium,Tier 1,Supermarket Type1,119844
FDD46,6035.0,Low Fat,236433601.0,Snack Foods,1555998,OUT010,1998,Small,Tier 3,Grocery Store,1537998
FDQ39,148.0,Low Fat,81372267.0,Meat,1914846,OUT018,2009,Medium,Tier 3,Supermarket Type2,30573536
FDD52,1825.0,Regular,18329488.0,Dairy,111657,OUT046,1997,Small,Tier 1,Supermarket Type1,1537998
FDL39,161.0,Regular,6358934.0,Dairy,1794318,OUT018,2009,Medium,Tier 3,Supermarket Type2,3608636
FDV02,1675.0,Low Fat,60792265.0,Dairy,1704106,OUT018,2009,Medium,Tier 3,Supermarket Type2,5133318
FDE11,177.0,Regular,68672955.93984963,Starchy Foods,1843924,OUT046,1997,Small,Tier 1,Supermarket Type1,42571252
NCU54,888.0,Low Fat,98775709.0,Household,208927,OUT049,1999,Medium,Tier 1,Supermarket Type1,7130718
FDR43,182.0,Low Fat,270300331.0,Fruits and Vegetables,38319,OUT010,1998,Small,Tier 3,Grocery Store,109857
FDD51,1115.0,Low Fat,119852889.0,Dairy,449744,OUT013,1987,High,Tier 3,Supermarket Type1,4980184
FDO60,20.0,Low Fat,34563936.0,Baking Goods,453086,OUT017,2007,Small,Tier 2,Supermarket Type1,4906946
NCS06,7935.0,Low Fat,31710329.0,Household,263091,OUT013,1987,High,Tier 3,Supermarket Type1,5522811
FDX50,201.0,Low Fat,74778547.0,Dairy,1107228,OUT045,2002,Small,Tier 2,Supermarket Type1,1657842
FDQ55,1365.0,Regular,13035609.0,Fruits and Vegetables,1147834,OUT035,2004,Small,Tier 2,Supermarket Type1,3455502
FDL52,6635.0,Regular,46277956.0,Frozen Foods,367506,OUT018,2009,Medium,Tier 3,Supermarket Type2,759012
FDK52,1825.0,Low Fat,793795.0,Frozen Foods,2261062,OUT045,2002,Small,Tier 2,Supermarket Type1,6771186
NCO02,1115.0,Low Fat,73783159.0,Others,660142,OUT017,2007,Small,Tier 2,Supermarket Type1,988713
NCO30,195.0,Low Fat,1572192.0,Household,1856608,OUT035,2004,Small,Tier 2,Supermarket Type1,918804
FDA33,648.0,Low Fat,33952603.0,Snack Foods,1482076,OUT049,1999,Medium,Tier 1,Supermarket Type1,33995748
FDB12,1115.0,Regular,105220024.0,Baking Goods,1027648,OUT013,1987,High,Tier 3,Supermarket Type1,11425128
FDT40,5985.0,Low Fat,95715608.0,Frozen Foods,1258678,OUT013,1987,High,Tier 3,Supermarket Type1,35606984
NCO05,727.0,Low Fat,46822808.0,Health and Hygiene,993384,OUT017,2007,Small,Tier 2,Supermarket Type1,27590752
FDR32,678.0,Regular,67329353.55021834,Fruits and Vegetables,2275694,OUT049,1999,Medium,Tier 1,Supermarket Type1,36539104
FDM04,9195.0,Regular,4731256.0,Frozen Foods,507666,OUT018,2009,Medium,Tier 3,Supermarket Type2,512666
